         2908455 function calls (2866976 primitive calls) in 5.104 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:975(exec_module)
      264    0.000    0.000    0.001    0.000 typing.py:715(<genexpr>)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 idtracking.py:1(<module>)
      748    0.001    0.000    0.001    0.000 __init__.py:368(getMessage)
       72    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1602(_get_spec)
      103    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
      374    0.001    0.000    0.001    0.000 __init__.py:123(getLevelName)
        1    0.000    0.000    0.001    0.001 __main__.py:5(getDirList)
        1    0.000    0.000    0.001    0.001 nodes.py:105(Node)
     1413    0.001    0.000    0.001    0.000 parser.py:786(parse_filter_expr)
        8    0.000    0.000    0.001    0.000 parser.py:427(parse_block_mapping_key)
       69    0.000    0.000    0.001    0.000 nodes.py:59(__new__)
       21    0.000    0.000    0.001    0.000 parser.py:273(parse_node)
     1122    0.001    0.000    0.001    0.000 __init__.py:815(filter)
      376    0.001    0.000    0.001    0.000 compiler.py:611(func)
        2    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
       10    0.000    0.000    0.001    0.000 argparse.py:1424(add_argument)
      197    0.000    0.000    0.001    0.000 typing.py:1591(<genexpr>)
        3    0.000    0.000    0.001    0.000 gettext.py:616(gettext)
        3    0.000    0.000    0.001    0.000 gettext.py:578(dgettext)
     3914    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.001    0.000 gettext.py:519(translation)
       23    0.000    0.000    0.001    0.000 typing.py:1670(__getitem__)
        3    0.000    0.000    0.001    0.000 gettext.py:479(find)
       53    0.000    0.000    0.001    0.000 typing.py:866(__init__)
        1    0.000    0.000    0.001    0.001 parser.py:167(parse_statement)
        1    0.000    0.000    0.001    0.001 loaders.py:1(<module>)
        1    0.000    0.000    0.001    0.001 compiler.py:1160(visit_For)
        1    0.000    0.000    0.001    0.001 parser.py:236(parse_for)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1658(_fill_cache)
     1648    0.001    0.000    0.001    0.000 _parser.py:256(match)
       72    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      376    0.001    0.000    0.001    0.000 __init__.py:990(__init__)
       84    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
     3964    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
      374    0.001    0.000    0.001    0.000 threading.py:1453(current_thread)
     1413    0.001    0.000    0.001    0.000 idtracking.py:59(find_load)
      136    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.001    0.000 parser.py:1(<module>)
      262    0.000    0.000    0.001    0.000 scanner.py:145(need_more_tokens)
        1    0.000    0.000    0.001    0.001 compiler.py:300(CodeGenerator)
       86    0.000    0.000    0.001    0.000 typing.py:1310(__getattr__)
       52    0.000    0.000    0.001    0.000 typing.py:1641(__getitem__)
     1629    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      284    0.001    0.000    0.001    0.000 classes.py:8(__init__)
